x,y,score,dist,stereotype,appropriate
lesbian,gay,0.5002172589302063,0.6135379672050476,unknown,unknown
sisterhood,brotherhood,0.4946066439151764,0.9596078991889954,unknown,unknown
ditz,goofball,0.49374958872795105,0.9988961815834045,unknown,unknown
lady,gentleman,0.48652440309524536,0.9871805310249329,unknown,unknown
sorority,fraternity,0.4860416054725647,0.8587449789047241,unknown,unknown
mothers,fathers,0.48353880643844604,0.7728209495544434,unknown,unknown
pixie_haircut,shaggy_locks,0.4808143377304077,0.9663181900978088,unknown,unknown
backcombed,shaggy_mane,0.47887808084487915,0.9744819402694702,unknown,unknown
lsnyder@lauraonlife.com_Or_visit,gbean@gmnews.com,0.4764755964279175,0.7921846508979797,unknown,unknown
petite_frame,physique,0.47526460886001587,0.9654873013496399,unknown,unknown
floral_frock,trilby_hat,0.47143930196762085,0.8888611197471619,unknown,unknown
greatgrandmother,grandfather,0.4713078439235687,0.9508877396583557,unknown,unknown
Mezzo_soprano,bass_baritone,0.4696587026119232,0.9002164602279663,unknown,unknown
Abu_Sisi_Ukrainian,anw_c't,0.4594166874885559,0.9456733465194702,unknown,unknown
songstress,crooner,0.4540255069732666,0.7836173176765442,unknown,unknown
manicurist,barber,0.4534214437007904,0.991945743560791,unknown,unknown
Expectant_mum,buries_hatchet,0.45339682698249817,0.9840459227561951,unknown,unknown
Councilwoman,councilman,0.4522058665752411,0.8464298248291016,unknown,unknown
Thalía,reggaeton_artist,0.4492306709289551,0.9328523278236389,unknown,unknown
scrunchie,flat_brimmed_hat,0.447368323802948,0.999660313129425,unknown,unknown
##/#-year-old_daughter,son,0.44722944498062134,0.982459306716919,unknown,unknown
Satyana,lil_bro,0.43630534410476685,0.9702272415161133,unknown,unknown
twin_granddaughters,son,0.43544840812683105,0.9620756506919861,unknown,unknown
chanteuse,troubadour,0.4353751838207245,0.8660542964935303,unknown,unknown
millionairess,multi_millionaire,0.43513303995132446,0.984168291091919,unknown,unknown
Cheryl_Moana,now_heeeee_ere,0.434307724237442,0.9934892058372498,unknown,unknown
Comedienne,comedian,0.43186184763908386,0.9171993732452393,unknown,unknown
maternal_instinct,paternal_instincts,0.4306088984012604,0.8793041706085205,unknown,unknown
mothering,fatherhood,0.43036484718322754,0.9722254276275635,unknown,unknown
sorority_sisters,frat_brothers,0.4289979934692383,0.9328086972236633,unknown,unknown
floral_skirt,sleeved_shirt,0.4269639849662781,0.9040298461914062,unknown,unknown
grandaughters,grandsons,0.4216035306453705,0.8571364879608154,unknown,unknown
Abigal,3/dh,0.4211863577365875,0.8847099542617798,unknown,unknown
frumps,greasy_haired,0.41913655400276184,0.9982573986053467,unknown,unknown
girlishness,impishness,0.41700518131256104,0.8934972882270813,unknown,unknown
Catwalk_queen,styled_metrosexual,0.4160367548465729,0.9475913047790527,unknown,unknown
sparkly_frock,dickie_bow,0.4154442548751831,0.9604922533035278,unknown,unknown
chiffon_blouse,linen_jackets,0.413176029920578,0.8750029802322388,unknown,unknown
Grammie,grandpa,0.412506103515625,0.921992301940918,unknown,unknown
maternal_instincts,paternal_instincts,0.4089823365211487,0.895169198513031,unknown,unknown
Valentino_gown,blazer,0.40894946455955505,0.985207200050354,unknown,unknown
Sharapova,nadal,0.405905544757843,0.9776374697685242,unknown,unknown
bridesmaid_gown,tuxedo,0.4052673876285553,0.982849657535553,unknown,unknown
gal_pals,pals,0.4032834768295288,0.9380449652671814,unknown,unknown
vajazzled,sh_***_ing,0.4026944935321808,0.9185335636138916,unknown,unknown
pr_........_0,3b_..............,0.4024311900138855,0.8594573140144348,unknown,unknown
womanly,manly,0.4018368422985077,0.9410375952720642,unknown,unknown
Matildas,socceroos,0.4013845920562744,0.9887167811393738,unknown,unknown
tortie,neutered_male,0.39987507462501526,0.7691339254379272,unknown,unknown
feminist,liberationist,0.39693132042884827,0.9255416393280029,unknown,unknown
femininity,masculinity,0.3959903120994568,0.8204773664474487,unknown,unknown
mommy,daddy,0.395303338766098,0.7684088945388794,unknown,unknown
ballerina_bun,linen_jackets,0.38786232471466064,0.9311817288398743,unknown,unknown
stereotypical_dumb_blonde,sharkskin_suit,0.38680270314216614,0.9632450938224792,unknown,unknown
RD_LDN,http://profnet.prnewswire.com/ud_public.jsp?userid=######,0.38501638174057007,0.921241044998169,unknown,unknown
catty,snide,0.383112370967865,0.8608489632606506,unknown,unknown
nipple_tassels,kecks,0.381322979927063,0.8978204727172852,unknown,unknown
strappy_heels,linen_jackets,0.38101860880851746,0.9213321805000305,unknown,unknown
bridesmaid_dress,tux,0.3807510435581207,0.9732882976531982,unknown,unknown
handmade_dolls,wood_carvings,0.37894314527511597,0.9336519241333008,unknown,unknown
Clijsters,federer,0.37887686491012573,0.9983645677566528,unknown,unknown
bra,pants,0.37860384583473206,0.9362912774085999,unknown,unknown
cleavage_baring,gelled_hair,0.3778163194656372,0.997439980506897,unknown,unknown
prom_dress,tuxedo,0.3768397569656372,0.9873676896095276,unknown,unknown
moms,dads,0.3747348189353943,0.7217750549316406,unknown,unknown
actresses,actors,0.3693615794181824,0.7451258897781372,unknown,unknown
leopard_print_bikini,trilby_hat,0.3664649724960327,0.9641441106796265,unknown,unknown
soeur,frere,0.3637763261795044,0.950927197933197,unknown,unknown
torti,neutered_male,0.36375898122787476,0.8948498368263245,unknown,unknown
seamed_stockings,double_breasted_blazers,0.3620610237121582,0.8663347363471985,unknown,unknown
barrette,velcro_strap,0.3617342412471771,0.9559187293052673,unknown,unknown
aunts_grandmothers,uncles_grandfathers,0.3578273057937622,0.8792092800140381,unknown,unknown
pinafores,knickerbockers,0.3513205349445343,0.8931789398193359,unknown,unknown
bitchy,snide,0.35118335485458374,0.8779302835464478,unknown,unknown
pouffy,silk_tuxedo,0.34916484355926514,0.9883273839950562,unknown,unknown
glammed,duded,0.34188738465309143,0.9707978367805481,unknown,unknown
fake_boobs,moobs,0.3384992778301239,0.9113378524780273,unknown,unknown
frilly_frock,straw_fedora,0.33299654722213745,0.8710295557975769,unknown,unknown
quilt_guild,woodcarvers,0.33043748140335083,0.9378699064254761,unknown,unknown
CURVATION,sportlifestyle_brand,0.3265502154827118,0.9827226996421814,unknown,unknown
lacy_underwear,flannelette_shirt,0.32417577505111694,0.9849094748497009,unknown,unknown
frilly_pink,ruffled_shirt,0.32038483023643494,0.9257184267044067,unknown,unknown
Silpada_jewelry,celebrity_autographed_memorabilia,0.3183854818344116,0.9692158102989197,unknown,unknown
strapless_backless,elasticated_waist,0.31533846259117126,0.8962334990501404,unknown,unknown
flat_chested,skinny,0.3144952058792114,0.9284881353378296,unknown,unknown
granny_squares,fir_boughs,0.3143375813961029,0.9718575477600098,unknown,unknown
Corsages,t_shirts_sweatshirts,0.3139277994632721,0.9502028226852417,unknown,unknown
female_domestic_shorthair,male_domestic_shorthair,0.3132506012916565,0.6900362968444824,unknown,unknown
Olay_Quench,dandruff_shampoo,0.3131481409072876,0.993079662322998,unknown,unknown
mums,dads,0.3074365556240082,0.8779461979866028,unknown,unknown
miniature_poodle,german_shepherd,0.3042135238647461,0.8882625699043274,unknown,unknown
Replens_Long,vaginal_moisturizer,0.30342626571655273,0.8446351885795593,unknown,unknown
lingerie_swimwear,sportswear_footwear,0.29861414432525635,0.8212857246398926,unknown,unknown
mommies,daddies,0.29732197523117065,0.8553810119628906,unknown,unknown
nightdress,dressing_gown,0.2907531261444092,0.8183012008666992,unknown,unknown
esthetician,naturopathic_doctor,0.28999122977256775,0.9148468971252441,unknown,unknown
cosmetics,cosmetics_perfumes,0.288955956697464,0.8909122943878174,unknown,unknown
lipgloss,mattifying,0.2887294292449951,0.8786171078681946,unknown,unknown
crocheted_blankets,hats_mittens_scarves,0.2885012626647949,0.8489937782287598,unknown,unknown
donor_insemination,sperm_donation,0.2831132709980011,0.8668586015701294,unknown,unknown
stepmothers,stepfathers,0.27402058243751526,0.9064128994941711,unknown,unknown
Embroidery_Guild,woodturners,0.27394506335258484,0.9847262501716614,unknown,unknown
transracially_adopted,religions_ethnicities,0.2701558470726013,0.9918236136436462,unknown,unknown
silk_organza_gown,chiffon_skirt,0.2541910409927368,0.7426252365112305,unknown,unknown
waterproof_mascara,mild_cleanser,0.2525295615196228,0.8751838803291321,unknown,unknown
chick_lit,literary_fiction,0.25067898631095886,0.8393113017082214,unknown,unknown
stargazer_lily,dendrobiums,0.23929233849048615,0.8849303126335144,unknown,unknown
boyfriends,girlfriends,0.22101755440235138,0.6377120018005371,unknown,unknown
celeb_stylist,celebrity_hair_stylist,0.21893832087516785,0.8023614883422852,unknown,unknown
lip_gloss,bronzer,0.20778633654117584,0.811138927936554,unknown,unknown
mothering_skills,parenting_skills,0.20234155654907227,0.8298707604408264,unknown,unknown
micro_preemie,micro_preemies,0.1915384829044342,0.8718623518943787,unknown,unknown
juggling_motherhood,juggle_motherhood,0.1718335747718811,0.7526825666427612,unknown,unknown
mani_pedis,massages_pedicures,0.17020539939403534,0.840441882610321,unknown,unknown
crocheting_blankets,knitting_afghans,0.16281799972057343,0.8182370066642761,unknown,unknown
paternal_grandmothers,paternal_grandfathers,0.1423688679933548,0.7329134941101074,unknown,unknown
breastfeeding_moms,breastfeeding_mothers,0.12248822301626205,0.7634404301643372,unknown,unknown
breastfeeding,breast_feeding,0.10774737596511841,0.49780455231666565,unknown,unknown
pregancy,pregnancy,0.1060779020190239,0.7044811248779297,unknown,unknown
Lip_Gloss,eyeshadow,0.07165558636188507,0.9309553503990173,unknown,unknown
lipsticks,lip_glosses,0.07060427963733673,0.7750964164733887,unknown,unknown
nurse_Lalitha_Gujar,spoons_powdered,0.023550404235720634,0.42474299669265747,unknown,unknown
